Printer:: Node with info: (Key:0 (6, 23), Node with key(6, 23), S Vector: [0.0119277, 0.00627278, 0.00133225, 0.000195097, 0.000111397], d Vector: [], has_children: 0)
Printer:: Node with info: (Key:2 (5, 8), Node with key(5, 8), S Vector: [3.78412e-09, 6.09744e-09, 7.11723e-09, 7.88489e-09, 8.59961e-09], d Vector: [], has_children: 0)
Printer:: Node with info: (Key:2 (5, 9), Node with key(5, 9), S Vector: [9.22567e-07, 1.29213e-06, 1.22452e-06, 1.16318e-06, 1.164e-06], d Vector: [], has_children: 0)
Printer:: Node with info: (Key:2 (5, 10), Node with key(5, 10), S Vector: [0.000132311, 0.000151133, 9.88014e-05, 6.27084e-05, 4.73393e-05], d Vector: [], has_children: 0)
Printer:: Node with info: (Key:0 (6, 22), Node with key(6, 22), S Vector: [0.00152802, 0.000932814, 0.000151898, 3.92531e-05, 6.53139e-05], d Vector: [], has_children: 0)
Printer:: Node with info: (Key:0 (6, 40), Node with key(6, 40), S Vector: [-0.0119277, 0.00627278, -0.00133225, 0.000195097, -0.000111397], d Vector: [], has_children: 0)
Printer:: Node with info: (Key:1 (7, 66), Node with key(7, 66), S Vector: [-5.98564, -0.429451, 0.035724, 0.00039683, -4.6526e-05], d Vector: [], has_children: 0)
Printer:: Node with info: (Key:0 (6, 41), Node with key(6, 41), S Vector: [-0.00152802, 0.000932814, -0.000151898, 3.92531e-05, -6.53139e-05], d Vector: [], has_children: 0)
Printer:: Node with info: (Key:2 (5, 21), Node with key(5, 21), S Vector: [-0.000132311, 0.000151133, -9.88014e-05, 6.27084e-05, -4.73393e-05], d Vector: [], has_children: 0)
Printer:: Node with info: (Key:1 (7, 67), Node with key(7, 67), S Vector: [-6.9843, -0.147058, 0.0357685, -0.000444113, -0.000147315], d Vector: [], has_children: 0)
Printer:: Node with info: (Key:2 (5, 22), Node with key(5, 22), S Vector: [-9.22567e-07, 1.29213e-06, -1.22452e-06, 1.16318e-06, -1.164e-06], d Vector: [], has_children: 0)
Printer:: Node with info: (Key:2 (5, 23), Node with key(5, 23), S Vector: [-3.78412e-09, 6.09744e-09, -7.11723e-09, 7.88489e-09, -8.59961e-09], d Vector: [], has_children: 0)
Printer:: Node with info: (Key:0 (6, 38), Node with key(6, 38), S Vector: [-0.331802, 0.131647, -0.0207421, 0.00170882, -3.55957e-05], d Vector: [], has_children: 0)
Printer:: Node with info: (Key:1 (4, 13), Node with key(4, 13), S Vector: [3.89493e-15, 3.43987e-15, 1.98743e-14, -1.45264e-15, -1.16848e-14], d Vector: [], has_children: 0)
Printer:: Node with info: (Key:2 (5, 24), Node with key(5, 24), S Vector: [-7.35945e-12, 1.24737e-11, -1.59609e-11, 1.88645e-11, -2.13895e-11], d Vector: [], has_children: 0)
